delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela 
ZDRAVSTVENA NEGA,435634,LJUBLJANA ŠIŠKA,6.45,7.5,"Potrebujejo študenta/ko ali dijaka/injo (zadnji letnik) zdravstvene smeri. Delo poteka na oddelku za intenzivno nego v dopoldanskem in popoldanskem času (možnost dela čez vikend po potrebah centra), po potrebi in dogovoru. V Centru se izvaja zdravstvena nega, specifična testiranja, pomoč pri remobilizaciji, socialna mreža. . . Možnost kasnejše redne zaposlitve za nedoločen čas. Začetek dela takoj oziroma po dogovoru. ",1,PO DOGOVORU,DOPOLDAN,po dogovoru
STREŽBA HRANE IN PIJAČE,435632,ŠMARCA PRI KAMNIKU,8.0,9.3,"Iščeš delo v prijetnem in urejenem okolju, kjer se boš lahko zabaval in spoznal nove prijatelje? Imaš rad delo z ljudmi in si želiš pridobiti izkušnje v gostinstvu? Potem so pravi naslov zate. O njih: so mlad in hitro rastoč lokal, ki ponuja širok izbor pijače in okusne hrane. Njihov kolektiv je sestavljen iz mladih in energičnih ljudi, ki so predani svojemu delu in se med seboj odlično razumejo. Izkušnje niso potrebne, so pa zaželene. Pošlji prijavo.     . ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
POMOČ V KUHINJI,435631,ŠMARCA PRI KAMNIKU,7.0,8.13,"Pomoč v kuhinji. Dodelava pizz, skrb za čistočo, pomoč v šanku (brez strežbe). Izkušnje niso potrebne. Delo poteka večinoma petek, sobota in nedelja, med 12. in 22. ali 23. uro, po potrebi in dogovoru. Po želji vas priučijo za delo v strežbi ali kuhinji. ",1,"SEPTEMBER IN OKTOBER, OSTALO PO DOGOVORU",MED VIKENDI,po dogovoru
PODPORA,435629,LJUBLJANA,8.0,9.3,"Mednarodno uveljavljen operater telekomunikacij išče resno in polnoletno osebo za delo v nadzornem TK centru z možnostjo nadaljnje redne zaposlitve. Delo na računalniku predstavlja komunikacijo s poslovnimi partnerji (aktivno znanje angleškega jezika), reševanje tehničnih težav, ipd. Obvezno znanje uporabe računalnika - Windows, Excel. Zaželena smer študija telekomunikacij ali sorodna tehnična smer (računalništvo, elektro, . . . ). ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
ZLAGANJE,435628,ŠENTVID PRI GROBELNEM,6.88,8.0,"V tiskarni potrebujejo več oseb z ročnimi spretnostmi za zlaganje, štetje, pakiranje, izdelovanje škatlic itd. Večinoma se dela v dopoldanskem času. S pridnim delom si je možno prislužiti tudi stimulacijo. Pričetek dela je takoj. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
STREŽBA HRANE IN PIJAČE,435627,RIBNICA,7.0,8.13,"Iščejo osebo za sprejem naročil, strežbo hrane in pijače ter skrb za čistočo delovnega prostora. Izkušnje niso pogoj, so pa zaželene. Želijo si kandidata/ko s pozitivnim odnosom in željo po učenju. Delo poteka med tednom v dopoldanskem času oz. tudi ob sobotah, po potrebi in dogovoru. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
PRODAJA SLADOLEDA,435626,LJUBLJANA,7.0,8.13,"Butična sladolednica išče študente/ke, za delo v prodaji. Pogoji so, da ste komunikativni z veliko energije, prijazni, kolegialni, da imate radi urejeno in čisto, da vas rast prodaje motivira in vas delo s strankami zares privlači. Objavljena urna postavka ni končna, glede na prodajo in nivo dela se lahko tudi dvigne. Pošljite prijavo. ",4,PO DOGOVORU,IZMENSKO,2. 9. 2024
DELO S STRANKAMI,435625,LJUBLJANA,8.0,9.3,"V mladem kolektivu stabilnega podjetja iščejo urejeno, komunikativno in ambiciozno osebo za raznoliko komercialno delo v razstavnem prostoru (podpora komercialistom, svetovanje strankam, urejanje razstavnega prostora, reševanje reklamacij, priprava akcijskih letakov, mailingov. . . ) Zaželeno: študent/ka višjega letnika, osnovno poznavanje orodja oz. volja do spoznavanja le-tega, poznavanje MS orodij ter izkušnje z ERP sistemom. Možnost redne zaposlitve in napredovanja. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
DELO V AVTOPRALNICI,435624,MARIBOR,7.12,8.28,"Iščejo osebi za pomoč v avtopralnici. Pogoji so polnoletnost, natančnost in komunikativnost. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
ADMINISTRATIVNA DELA,435623,LJUBLJANA,6.58,7.65,"Pridruži se ekipi priljubljene aplikacije za dostavo. Skrbel/a boš za vnos podatkov, komunikacijo s ponudniki, urejanje menijev, organiziranje profesionalnih fotografiranj in podobno. Iščejo natančno osebo z dobrimi organizacijskimi sposobnostmi, občutkom za jezik in slovnico ter željo po učenju. Nudijo delo v mladi ekipi, mednarodne izkušnje, mentorstvo, popust na najbogatejši izbor jedi ter služben prenosni računalnik. Pošlji prijavo in CV. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
UČITELJ/ICA PLAVANJA,435622,LOGATEC,12.0,13.95,"Za delo je potreben naziv Strokovni delavec v športu 1 ali naziv učitelj plavanja, če ste usposabljanje opravljali pred 2019. V skladu z ZŠp-1 ne potrebujete obnovljene licence.   (Alternativno vzgojitelj predšolskih otrok ali učitelj razrednega pouka). Možnost višje urne postavke in povračilo potnih stroškov za študente/ke iz daljših regij. Za več informacij in dogovor o možnih terminih dela pokličite ali pošljite prijavo. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,16. 9. 2024
STREŽBA,435621,SELNICA OB DRAVI,7.0,8.13,"Iščejo energični in prijazni osebi za delo v strežbi v lokalu. Lokal obratuje med 7. in 22. uro, ob nedeljah in praznikih pa med 8. in 14. uro. Dela se po potrebi in dogovoru. Predhodne izkušnje niso pogoj. ",2,PO DOGOVORU,IZMENSKO,po dogovoru
REŠEVALEC/KA IZ VODE,435620,LOGATEC,10.0,11.62,Podjetje išče osebi za delo reševalca iz vode. Pogoj je licenca A1. Delovni čas po dogovoru in po potrebi. Urna postavka je lahko tudi višja. ,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,9. 9. 2024
STREŽBA,435619,POSTOJNA,7.25,8.42,"Iščejo osebo za delo v strežbi. Zaželene so izkušnje, pričetek dela takoj. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,28. 8. 2024
DELO V SKLADIŠČU,435618,ŠENČUR,7.12,8.28,"Iščejo osebo za deklariranje in pomoč v skladišču kozmetike in prehranskih dopolnil. Delo je čisto in v urejenih prostorih. Pogoja: hitrost in natančnost, potrebna je tudi fizična moč - prenašanje tudi težjih tovorkov. Zaželen/a študent/ka z izkušnjami dela v skladišču (povijanje palet, upravljanje ročnega viličarja). Delo poteka v dopoldanskem času, po potrebi in dogovoru. Možnost kasnejše redne zaposlitve. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
PROIZVODNJA V FARMACIJI,435617,LJUTOMER,6.97,8.1,"Potrebujejo osebo za pomoč v farmacevtski proizvodnji: pomoč pri upravljanju strojev na pakiranju farmacevtskih izdelkov, ročno pakiranje izdelkov na liniji ter pomoč pri čiščenju stroja, delovnega mesta in delovnih površin. Zahteva se: pripravljenost za delo v dveh oz. treh izmenah, natančnost in odgovornost. Nudijo uvajanje in mentorstvo ter stimulativno urno postavko (8,1 € bruto, nočno delo 50% dodatek). Ponudbe z življenjepisom pošljite na e-naslov s pripisom: Prijava za študentsko delo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
DELO NA RECEPCIJI,435615,TRZIN,6.5,7.55,"Potrebujejo osebo za delo na recepciji. Iščejo urejeno, resno, komunikativno ter odgovorno osebo. Z delom se lahko prične takoj. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
DELO S STRANKAMI,435614,LJUBLJANA,8.65,10.05,"Si študent/ka z odličnimi komunikacijskimi sposobnostmi in navdušenjem nad avtomobili? Pridružite se ekipi, kjer boste svetovali strankam pri nakupu/servisu vozil in pomagali ustvariti nepozabno izkušnjo! Ponujajo fleksibilen delovni čas in priložnost za pridobitev dragocenih izkušenj. Če ste odgovorni in pripravljeni na nove izzive, vas vabijo v njihovo ekipo. ",2,PO DOGOVORU,PO DOGOVORU,26. 8. 2024
ADMINISTRATIVNA DELA,435613,POSTOJNA,7.14,8.3,"Potrebujejo osebo za lažja administrativna dela. Vaše naloge bodo: sprejemanje, evidentiranje, skeniranje in razdeljevanje pošte, naročanje pisarniškega materiala. Pošljite prijavo in CV. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,28. 8. 2024
DELO V PROIZVODNJI,435612,VIDEM PRI PTUJU,coerce,coerce,"V podjetju potrebujejo dve polnoletni osebi za delo v proizvodnji sveč. Proizvodnja poteka v dveh izmenah, med 6. 00 in 22. 00. Dela se po potrebi in dogovoru. ",2,DO KONCA OKTOBRA,IZMENSKO,po dogovoru
ADMINISTRATIVNA DELA,435611,LJUBLJANA BEŽIGRAD,7.0,8.13,"Vnašanje računov in dobavnic v program, tiskanje deklaracij, priprava lažjih dopisov, izpolnjevanje vlog za delovna dovoljenja in druga administrativna dela. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
DELO NA BLAGAJNI,435609,MARIBOR STUDENCI,7.4,8.6,"Pomoč v strežbi in na blagajni v restavraciji s hitro prehrano. Pogoja sta delavnost in iznajdljivost. Delovni čas je fleksibilen, delo je dinamično in timsko. Nudijo nagrajevanje in možnost napredovanja. Urna postavka je ob praznikih in v nočnem času 9,6 € bruto. Za nočno delo je pogoj starost 18 let. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
STREŽBA HRANE IN PIJAČE,435608,OTIŠKI VRH,7.0,8.13,"Za pomoč pri strežbi hrane in pijače med tednom v dopoldanskem času od 9. ure dalje, potrebujejo prijazno polnoletno osebo. Kandidati/ke naj prijavo oddajo s klikom na gumb Prijavi se na delo. ",1,PO DOGOVORU,DOPOLDAN,po dogovoru
MASER/KA,435607,ŠKOFJA LOKA,10.18,11.83,"Delo poteka v urejenem okolju salona in na terenu. Pogoji: opravljen tečaj masaž (zaželen certifikat NPK maser), znanje klasične švedske masaže in drugih masažnih tehnik, izkušnje s področja masaž in dela z ljudmi. Zaželeno znanje s področja objav na socialnih omrežjih, pisanje objav, zaželena izobrazba ustrezne smeri (npr. fizioterapija ipd. ). Začetek takoj ali po dogovoru. Pošlji prijavo, CV in motivacijsko pismo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
PROMOCIJA,435605,LJUBLJANA,9.0,10.46,"Iščejo študente/ke za dobro delo z namenom. Postani del njihove promocijske ekipe. Delo je možno tako v dopoldanskem kot popoldanskem času, vikendi so prosti. Poleg osnovne urne postavke ti ob dobrem delu nudijo stimulacijo do 13 €/h bruto in možnost napredovanja. Izkušnje niso potrebne, saj te pred pričetkom dela vsega naučijo. Starostne omejitve ni. Delo poteka v parih ali samostojno. Prijavi se zdaj in soustvarjaj boljši svet.   ",8,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
BLAGAJNIK,435604,MORAVČE,7.31,8.5,"Uspešno trgovsko podjetje ti ponuja možnost dela v super kolektivu, kjer lahko dobro zaslužiš in dobiš veliko izkušenj na področju dela v trgovini. Delo poteka pretežno na blagajni. Nudijo ti prilagodljiv urnik, ki ti omogoča prilagajanje študijskim obveznostim. Če meniš, da si zanesljiva oseba, ki ji je mar za čistočo in red, ne odlašaj s prijavo in se jim pridruži. Prijave sprejemajo elektronsko. Pogoja za delo sta starost nad 18 let in aktivno znanje slovenskega jezika. ",2,PO DOGOVORU,PO DOGOVORU,26. 8. 2024
STREŽBA,435603,MARIBOR,7.2,8.37,"Iščejo polnoletne, prijazne in energične posameznike, ki bi si želeli pridružiti njihovi ekipi za pomoč in samostojno delo v strežbi v prijetnem lokalu. Izkušnje so zaželene.   ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
STREŽBA,435602,LJUBLJANA RUDNIK,8.0,9.3,Iščejo polnoletni osebi za strežbo pijač v mirnem baru. Delo poteka med 14. in 22. uro po potrebi in dogovoru ter vsako drugo soboto med 6. in 14 uro. Ob nedeljah in praznikih je lokal zaprt. ,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
PRODAJA SLADOLEDA,435601,LJUBLJANA CENTER,7.5,8.72,"Sladoledarna potrebuje več oseb za strežbo in prodajo sladoleda in sladic. Dela se tudi ob vikendih, delovni čas po dogovoru. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
DELO NA BENCINSKEM SERVISU,435600,LJUBLJANA,7.5,8.72,"Potrebujejo polnoletno osebo za delo na bencinskem servisu (delo na blagajni, pomoč strankam, čiščenje polic, zlaganje blaga in delo v avtopralnici). Prijavo pošljite samo resni kandidati. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
SNEMANJE IN UREJANJE KRATKIH VIDEOV,435599,LJUBLJANA,7.0,8.13,"Delovne naloge: odlično poznavanje in predstavitev sedežnih garnitur strankam, poznavanje pogojev poslovanja in skrb za ohranjanje dobrega imena podjetja; pomoč pri slikanju priporočil na terenu; pomoč pri snemanju videov, fotografij, nalaganju le-teh na web. Pogoji: občutek za estetiko, dobre komunikacijske sposobnosti ter poznavanje osnov marketinga. Pošljite prijavo na e mail. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
DELO NA STOJNICI,435598,IZOLA,10.0,11.62,"Iščejo urejeni, komunikativni osebi za delo na stojnici pri prodaji pršuta in vina. Zaželeno je znanje tujih jezikov (angleščina, italijanščina, nemščina. . . ) in poznavanje vinske kulture ter mediteranske kulinarike. Občasno je potrebna pomoč tudi pri pripravi in čiščenju prostorov. Pošlji prijavo. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
STREŽBA,435597,LITIJA,8.0,9.3,"V prijetnem lokalu iščejo študenta/ki za delo v strežbi. Nedelje in prazniki prosto. Pogoj starost nad 18 let. Izkušnje so zaželene, niso pa pogoj.   ",2,DLJE ČASA ALI PO DOGOVORU,IZMENSKO,2. 9. 2024
DELO V AMBULANTI,435596,KRANJ,7.12,8.28,"Delo poteka v letališki ambulanti prve pomoči. Zahtevana končana srednja zdravstvena šola, prednost imajo se študentje/ke zdravstvene nege. Urnik je prilagojen študiju. Mlada ekipa zdravstvenih tehnikov in zdravnikov pa obljublja sproščeno in zabavno delo. Zaradi narave dela je med delovnim časom ogromno prostega časa za učenje. Dela se lahko tudi samo med vikendi in prazniki. Pogoj je nekaznovanost. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
ANIMACIJA,435595,LJUBLJANA,7.0,8.13,"Iščejo polnoletne študente/ke (zaželeno absolventi pedagoške smeri, ni pa nujno) za delo v otroškem parku (skrb za celoten otroški park, izvajanje delavnic in pomoč pri organizaciji dela). Zaželene so izkušnje z delom z otroki, z animacijami in varstvom. Predvsem je pomemben prijazen odnos do strank in veselje do dela z otroki.   Delo poteka med tednom v popoldanskem času, ob vikendih in praznikih.   Ob prijavi priložite življenjepis. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
POMOČ PRI RAZVOJU,435594,NAZARJE,6.45,7.5,"Podjetje potrebuje študenta/ko zaključnega letnika ali absolevnta/ko tehnične smeri za strokovna ter operativna dela v razvoju Navodil in embalaže. Nudijo razgibano delo v mednarodnem okolju, možnost stimulativnega nagrajevanja, spodbujanje strokovnega in osebnega razvoja. Pogoj: aktivno znanje angleškega jezika, zaželeno poznavanje programa SAP. Za prijavo uporabite obrazec na uradni spletni strani. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
KURIR/KA,435593,LJUBLJANA,7.5,8.72,"Prevoz, sortiranje, nalaganje, dostava in razvrščanje paketov. Prav tako pripadajoča dela za uspešno dostavo paketov (klicanje strank ipd. ) Obvezen vozniški izpit B, kategorije. Prednost ima kandidat/ka, ki je predhodno že vozil/a kombi. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
KONTROLA KAKOVOSTI,435592,NAZARJE,6.45,7.5,"Za pomoč v oddelku kakovosti potrebujejo študenta/ko tehničnih smeri, ki bo pomagal/a pri analizi vzorcev na podlagi reklamacij s tržišča. Od študenta/ke pričakujejo poznavanje MS Office paketa in aktivno znanje angleščine. Ponujajo razgibano delo v mednarodnem okolju, možnost stimulativnega nagrajevanja ter spodbujanje strokovnega in osebnega razvoja. Oddajte elektronsko prijavo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 10. 2024
VARSTVO PRI DELU,435591,NAZARJE,6.45,7.5,"V svojo ekipo vabijo zanesljivega/o študenta/ko, ki si želi nabirati delovne izkušnje na področju varnosti in zdravja pri delu. Delo zajema pomoč pri pripravi materiala za usposabljanje iz varnosti in zdravja pri delu, pomoč pri administraciji pri internem programu ter elektronsko arhiviranje. Pogoj je družboslovna smer izobrazbe, poznavanje MS Office paketa in aktivno znanje angleščine. Poznavanje SAP-a je prednost. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
ADMINISTRATIVNA DELA V LABOLATORIJU,435590,NAZARJE,6.45,7.5,"Iščejo študenta/ko, ki lahko občasno pomaga v razvojnem laboratoriju za opravljanje pomožnih del, za pomoč pri analizah aparatov, kot podpora oddelčnemu materialnemu toku in administrativnim delom v oddelku. Pogoji so študij strojništva, mehatronike, elektrotehnike ali tehnologije polimerov, znanje angleškega jezika, zanesljivost, komunikativnost in motiviranost za delo. Nudijo kakovostno mentorstvo, delo v prijetnem kolektivu in fleksibilni delovni čas. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 10. 2024
ADMINISTRATIVNA DELA,435589,NAZARJE,6.45,7.5,"V svojo ekipo vabijo zanesljivega/o študenta/ko, ki si želi nabirati delovne izkušnje na področju administracije. Delo zajema tehnično administrativne naloge, kreiranje internih naročil ter skrb za interne pošiljke. Pogoj je družboslovna ali naravoslovno-tehnična smer izobrazbe, poznavanje MS Office paketa ter aktivno znanje angleščine ali nemščine. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
INŠTRUKCIJE,435587,BLED IN RADOVLJICA,16.52,19.2,"V izobraževalnem centru iščejo novo sodelavko/sodelavca za poučevanje angleščine. Gre za poučevanje skupin otrok in šolarjev individualno in v manjših skupinah, lahko tudi za poučevanje odraslih ter za inštrukcije. Iščejo zanesljivo, odzivno, točno in skrbno osebo. Izobrazba ustrezne smeri je pogoj, izkušnje pa so zaželene. Iščejo nekoga za daljši čas. Obseg dela je stvar dogovora. Nudijo pozitivno in motivacijsko okolje, priložnost za nabiranje izkušenj in razvoj veščin. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
PRODAJA SLADOLEDA,435586,KOPER,6.45,7.5,Iščejo dve simpatični in odgovorni osebi za prodajo sladoleda za dolgoročno občasno sodelovanje. Delo bo potekalo par dni v tednu (po potrebi in dogovoru). ,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,26. 8. 2024
POMOČ PRI PRODAJI,435585,POSTOJNA,7.74,9.0,"Pomoč pri prodaji, zlaganje artiklov na police, odpiranje palet, pospravljanje trgovine ter delo na blagajni v trgovini z izdelki za vsakodnevno rabo. ",1,PO DOGOVORU,IZMENSKO,po dogovoru
POMOČ PRI PRODAJI,435583,BREŽICE,7.74,9.0,"Potrebujejo polnoletno osebo za pomoč pri prodaji, skrb in zlaganje na police ter delo na blagajni v trgovini z izdelki za vsakodnevno rabo. ",1,PO DOGOVORU,IZMENSKO,po dogovoru
STROKOVNA ADMINISTRATIVNA DELA,435582,LJUBLJANA,7.41,8.61,"Farmacevtsko podjetje potrebuje študenta/ko za delo v administrativni podpori smer farmacije. Prednost imajo študentje višjih letnikov. Delo poteka v dopoldanskem času, med ponedeljkom in petkom, kasnejša možnost dela od doma. Pogoji: aktivno znanje angleškega jezika in dobro poznavanje dela z orodij MSOffice 365. Je odlična priložnost za spoznavanje ozadja dela v mednarodnem farmacevtskem podjetju in neprecenljive izkušnje na področju farmacevtske industrije. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
UREJANJE OKOLICE,435580,MENGEŠ,9.47,11.0,Urejanje zunanje okolice podjetja - ureditev zunanjih površin in podobno. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
POMOČ PRI PRODAJI,435579,DOMŽALE,6.2,7.21,"Podjetje išče študenta/ko za izmensko delo v njihovi trgovini. Delo zajema svetovanje strankam, prodajo, delo z zalogami in blagajno, pripravo ponudb in pogodb, urejanje trgovine ter ostala dela v trgovini. Prednost imajo člani/ce z izkušnjami na področju prodaje in lastnim prevozom. Pogoj je starost nad 18 let. ",1,PO DOGOVORU,IZMENSKO,po dogovoru
INFORMATOR/KA,435578,KOPER,7.0,8.13,"Opis dela: zagotavljanje informacij o turističnih atrakcijah, aktivnostih in storitvah na destinaciji v slovenskem, italijanskem ter angleškem jeziku, za odgovarjanje na telefonske klice, elektronska sporočila in ostala vprašanja turistov, skrb za urejenost informacijskega centra in oskrbo z aktualnimi informacijami, pomoč v trgovini.   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
